timeStamp,Material,TxPower,RTT,RSSI,matOrder,,TxPower,(All),,,,
50519,Empty box with air,50,1,-34,1,,,,,,,
50725,Empty box with air,32,1,-38,1,,,Column Labels,,,,
50935,Empty box with air,26,7,-33,1,,,Empty box with air,WATER,Water25Gelatin75,Water90Gelatin10,Grand Total
51131,Empty box with air,18,2,-33,1,,Average of RSSI,-34.56666667,-32.725,-29.5875,-38.11666667,-33.74895833
51336,Empty box with air,6,1,-45,1,,,,,,,
51430,Empty box with air,76,1,-27,1,,,,,,,
51522,Empty box with air,70,2,-27,1,,,,,,,
51749,Empty box with air,58,2,-32,1,,,,,,,
51954,Empty box with air,50,1,-34,1,,,,,,,
52159,Empty box with air,32,1,-37,1,,,,,,,
52365,Empty box with air,26,2,-32,1,,,,,,,
52574,Empty box with air,18,5,-33,1,,,,,,,
52769,Empty box with air,6,1,-45,1,,,,,,,
52936,Empty box with air,76,1,-45,1,,,,,,,
53188,Empty box with air,70,6,-28,1,,,,,,,
53393,Empty box with air,58,1,-32,1,,,,,,,
53589,Empty box with air,50,1,-35,1,,,,,,,
53796,Empty box with air,32,3,-37,1,,,,,,,
54001,Empty box with air,26,1,-33,1,,,,,,,
54207,Empty box with air,18,1,-33,1,,,,,,,
54412,Empty box with air,6,1,-45,1,,,,,,,
54609,Empty box with air,76,1,-27,1,,,,,,,
54828,Empty box with air,70,4,-29,1,,,,,,,
55023,Empty box with air,58,1,-32,1,,,,,,,
55230,Empty box with air,50,3,-35,1,,,,,,,
55436,Empty box with air,32,1,-38,1,,,,,,,
55641,Empty box with air,26,1,-33,1,,,,,,,
55846,Empty box with air,18,1,-33,1,,,,,,,
56051,Empty box with air,6,1,-46,1,,,,,,,
56196,Empty box with air,76,1,-46,1,,,,,,,
56469,Empty box with air,70,6,-28,1,,,,,,,
56664,Empty box with air,58,1,-31,1,,,,,,,
56869,Empty box with air,50,1,-34,1,,,,,,,
57074,Empty box with air,32,1,-37,1,,,,,,,
57280,Empty box with air,26,1,-32,1,,,,,,,
57487,Empty box with air,18,3,-33,1,,,,,,,
57694,Empty box with air,6,4,-45,1,,,,,,,
57881,Empty box with air,76,1,-27,1,,,,,,,
58099,Empty box with air,70,3,-28,1,,,,,,,
58305,Empty box with air,58,2,-32,1,,,,,,,
58512,Empty box with air,50,4,-34,1,,,,,,,
58718,Empty box with air,32,2,-38,1,,,,,,,
58913,Empty box with air,26,2,-33,1,,,,,,,
59120,Empty box with air,18,2,-32,1,,,,,,,
59325,Empty box with air,6,1,-45,1,,,,,,,
59439,Empty box with air,76,2,-45,1,,,,,,,
59530,Empty box with air,70,2,-28,1,,,,,,,
59736,Empty box with air,58,2,-32,1,,,,,,,
59941,Empty box with air,50,1,-33,1,,,,,,,
60147,Empty box with air,32,2,-38,1,,,,,,,
60357,Empty box with air,26,6,-32,1,,,,,,,
60555,Empty box with air,18,4,-33,1,,,,,,,
60751,Empty box with air,6,1,-45,1,,,,,,,
60938,Empty box with air,76,2,-45,1,,,,,,,
61176,Empty box with air,70,3,-29,1,,,,,,,
61371,Empty box with air,58,1,-31,1,,,,,,,
61579,Empty box with air,50,3,-34,1,,,,,,,
61784,Empty box with air,32,1,-38,1,,,,,,,
