timeStamp,Material,TxPower,RTT,RSSI
488020,Water60Gelatin40,8,3,-37
488227,Water60Gelatin40,78,1,-19
488433,Water60Gelatin40,66,1,-23
488638,Water60Gelatin40,60,2,-24
488844,Water60Gelatin40,44,1,-26
489049,Water60Gelatin40,34,1,-30
489255,Water60Gelatin40,28,1,-25
489450,Water60Gelatin40,20,1,-25
489656,Water60Gelatin40,8,1,-37
489769,Water60Gelatin40,78,2,-19
489861,Water60Gelatin40,66,3,-23
490067,Water60Gelatin40,60,1,-24
490272,Water60Gelatin40,44,1,-25
490478,Water60Gelatin40,34,1,-30
490684,Water60Gelatin40,28,1,-25
490889,Water60Gelatin40,20,1,-25
491094,Water60Gelatin40,8,1,-36
491302,Water60Gelatin40,78,1,-20
491508,Water60Gelatin40,66,2,-23
491713,Water60Gelatin40,60,1,-24
491919,Water60Gelatin40,44,2,-25
492114,Water60Gelatin40,34,1,-30
492320,Water60Gelatin40,28,1,-25
492525,Water60Gelatin40,20,1,-25
492731,Water60Gelatin40,8,1,-36
492844,Water60Gelatin40,78,1,-36
492935,Water60Gelatin40,66,2,-23
493141,Water60Gelatin40,60,1,-24
493347,Water60Gelatin40,44,1,-25
493552,Water60Gelatin40,34,1,-30
493758,Water60Gelatin40,28,2,-25
493963,Water60Gelatin40,20,1,-25
494054,Water60Gelatin40,8,1,-37
494168,Water60Gelatin40,78,1,-20
494373,Water60Gelatin40,66,1,-23
494579,Water60Gelatin40,60,2,-25
494784,Water60Gelatin40,44,1,-25
494980,Water60Gelatin40,34,1,-30
495186,Water60Gelatin40,28,1,-25
495392,Water60Gelatin40,20,2,-26
495587,Water60Gelatin40,8,1,-37
495805,Water60Gelatin40,78,1,-19
496010,Water60Gelatin40,66,1,-23
496216,Water60Gelatin40,60,2,-24
496421,Water60Gelatin40,44,1,-25
496627,Water60Gelatin40,34,1,-30
496832,Water60Gelatin40,28,1,-25
497038,Water60Gelatin40,20,1,-25
497233,Water60Gelatin40,8,1,-37
497326,Water60Gelatin40,78,1,-37
497437,Water60Gelatin40,66,1,-23
497643,Water60Gelatin40,60,1,-24
497849,Water60Gelatin40,44,1,-25
498054,Water60Gelatin40,34,1,-30
498260,Water60Gelatin40,28,1,-25
498465,Water60Gelatin40,20,1,-25
498671,Water60Gelatin40,8,1,-37
498837,Water60Gelatin40,78,1,-37
498928,Water60Gelatin40,66,1,-37
499081,Water60Gelatin40,60,1,-24
499286,Water60Gelatin40,44,1,-25
499492,Water60Gelatin40,34,1,-30
499697,Water60Gelatin40,28,1,-25
499903,Water60Gelatin40,20,1,-25
500098,Water60Gelatin40,8,1,-36
500305,Water60Gelatin40,78,1,-19
500511,Water60Gelatin40,66,1,-22
500717,Water60Gelatin40,60,1,-24
500922,Water60Gelatin40,44,1,-25
501128,Water60Gelatin40,34,1,-29
501333,Water60Gelatin40,28,1,-25
501539,Water60Gelatin40,20,1,-25
501744,Water60Gelatin40,8,1,-37
501837,Water60Gelatin40,78,1,-37
501949,Water60Gelatin40,66,1,-23
502154,Water60Gelatin40,60,1,-24
502360,Water60Gelatin40,44,1,-25
502566,Water60Gelatin40,34,2,-30
502772,Water60Gelatin40,28,2,-24
502978,Water60Gelatin40,20,1,-25
503068,Water60Gelatin40,8,2,-37
503182,Water60Gelatin40,78,1,-20
503378,Water60Gelatin40,66,2,-23
503583,Water60Gelatin40,60,1,-24
503789,Water60Gelatin40,44,2,-25
503994,Water60Gelatin40,34,1,-29
504200,Water60Gelatin40,28,1,-25
504406,Water60Gelatin40,20,2,-25
504601,Water60Gelatin40,8,1,-37
504819,Water60Gelatin40,78,2,-20
505025,Water60Gelatin40,66,2,-23
505220,Water60Gelatin40,60,1,-24
505425,Water60Gelatin40,44,1,-24
505631,Water60Gelatin40,34,1,-29
505836,Water60Gelatin40,28,1,-24
506041,Water60Gelatin40,20,1,-25
506237,Water60Gelatin40,8,1,-36
506350,Water60Gelatin40,78,1,-20
506451,Water60Gelatin40,66,2,-23
506657,Water60Gelatin40,60,1,-24
506863,Water60Gelatin40,44,2,-25
507068,Water60Gelatin40,34,1,-29
507274,Water60Gelatin40,28,2,-25
507479,Water60Gelatin40,20,1,-25
507685,Water60Gelatin40,8,1,-36
507840,Water60Gelatin40,78,1,-36
508088,Water60Gelatin40,66,1,-23
508293,Water60Gelatin40,60,1,-24
508499,Water60Gelatin40,44,1,-25
508695,Water60Gelatin40,34,1,-30
508911,Water60Gelatin40,28,1,-25
509002,Water60Gelatin40,20,2,-25
509103,Water60Gelatin40,8,1,-37
509321,Water60Gelatin40,78,1,-20
509526,Water60Gelatin40,66,1,-22
509732,Water60Gelatin40,60,1,-24
509938,Water60Gelatin40,44,1,-25
510143,Water60Gelatin40,34,2,-29
510349,Water60Gelatin40,28,1,-25
510555,Water60Gelatin40,20,2,-25
510750,Water60Gelatin40,8,1,-37
510843,Water60Gelatin40,78,2,-20
510955,Water60Gelatin40,66,1,-23
511160,Water60Gelatin40,60,1,-24
511366,Water60Gelatin40,44,1,-25
511571,Water60Gelatin40,34,1,-30
511777,Water60Gelatin40,28,1,-25
511982,Water60Gelatin40,20,1,-25
512188,Water60Gelatin40,8,1,-36
512343,Water60Gelatin40,78,1,-36
512601,Water60Gelatin40,66,1,-22
512807,Water60Gelatin40,60,1,-24
513002,Water60Gelatin40,44,1,-25
513207,Water60Gelatin40,34,1,-30
513413,Water60Gelatin40,28,1,-25
513618,Water60Gelatin40,20,1,-25
513824,Water60Gelatin40,8,1,-36
514021,Water60Gelatin40,78,1,-20
514237,Water60Gelatin40,66,1,-23
514442,Water60Gelatin40,60,1,-24
514648,Water60Gelatin40,44,1,-25
514854,Water60Gelatin40,34,2,-30
515059,Water60Gelatin40,28,1,-25
515265,Water60Gelatin40,20,1,-25
515460,Water60Gelatin40,8,2,-37
515595,Water60Gelatin40,78,1,-37
515873,Water60Gelatin40,66,1,-23
516079,Water60Gelatin40,60,1,-24
516285,Water60Gelatin40,44,1,-25
516490,Water60Gelatin40,34,2,-29
516697,Water60Gelatin40,28,2,-25
516902,Water60Gelatin40,20,1,-25
517108,Water60Gelatin40,8,2,-37
517305,Water60Gelatin40,78,1,-19
517510,Water60Gelatin40,66,1,-22
517716,Water60Gelatin40,60,2,-24
517922,Water60Gelatin40,44,1,-25
518127,Water60Gelatin40,34,1,-30
518333,Water60Gelatin40,28,1,-25
518538,Water60Gelatin40,20,1,-25
518744,Water60Gelatin40,8,2,-37
518837,Water60Gelatin40,78,1,-37
518938,Water60Gelatin40,66,1,-22
519154,Water60Gelatin40,60,1,-24
519359,Water60Gelatin40,44,2,-25
519565,Water60Gelatin40,34,1,-29
519771,Water60Gelatin40,28,1,-25
519976,Water60Gelatin40,20,1,-25
520184,Water60Gelatin40,8,3,-37
520350,Water60Gelatin40,78,2,-20
520587,Water60Gelatin40,66,2,-23
520792,Water60Gelatin40,60,1,-24
520998,Water60Gelatin40,44,1,-25
521203,Water60Gelatin40,34,1,-29
521409,Water60Gelatin40,28,1,-25
521605,Water60Gelatin40,20,2,-25
521810,Water60Gelatin40,8,2,-37
522018,Water60Gelatin40,78,1,-19
522224,Water60Gelatin40,66,1,-23
522429,Water60Gelatin40,60,1,-24
522635,Water60Gelatin40,44,1,-25
522831,Water60Gelatin40,34,1,-30
523050,Water60Gelatin40,28,5,-25
523245,Water60Gelatin40,20,1,-25
523451,Water60Gelatin40,8,2,-37
523606,Water60Gelatin40,78,2,-37
523864,Water60Gelatin40,66,1,-23
524070,Water60Gelatin40,60,1,-24
524275,Water60Gelatin40,44,2,-25
524481,Water60Gelatin40,34,1,-30
524676,Water60Gelatin40,28,2,-25
524882,Water60Gelatin40,20,1,-25
525087,Water60Gelatin40,8,1,-37
525295,Water60Gelatin40,78,1,-20
525501,Water60Gelatin40,66,1,-23
525706,Water60Gelatin40,60,1,-24
525912,Water60Gelatin40,44,1,-25
526117,Water60Gelatin40,34,1,-30
526323,Water60Gelatin40,28,1,-25
526528,Water60Gelatin40,20,1,-25
526724,Water60Gelatin40,8,1,-36
526848,Water60Gelatin40,78,1,-36
527137,Water60Gelatin40,66,1,-23
527342,Water60Gelatin40,60,2,-23
527548,Water60Gelatin40,44,1,-25
527753,Water60Gelatin40,34,1,-30
527959,Water60Gelatin40,28,1,-25
528165,Water60Gelatin40,20,2,-25
528370,Water60Gelatin40,8,1,-37
528567,Water60Gelatin40,78,1,-21
528773,Water60Gelatin40,66,1,-22
528978,Water60Gelatin40,60,1,-24
529184,Water60Gelatin40,44,1,-25
529390,Water60Gelatin40,34,2,-30
529585,Water60Gelatin40,28,1,-25
529801,Water60Gelatin40,20,1,-25
530007,Water60Gelatin40,8,2,-37
530110,Water60Gelatin40,78,1,-20
530212,Water60Gelatin40,66,1,-23
530417,Water60Gelatin40,60,1,-23
530623,Water60Gelatin40,44,1,-25
530829,Water60Gelatin40,34,2,-29
531034,Water60Gelatin40,28,1,-25
531230,Water60Gelatin40,20,1,-25
531436,Water60Gelatin40,8,2,-38
531601,Water60Gelatin40,78,1,-38
531849,Water60Gelatin40,66,1,-26
532054,Water60Gelatin40,60,1,-25
532260,Water60Gelatin40,44,2,-27
532466,Water60Gelatin40,34,2,-33
532671,Water60Gelatin40,28,2,-29
532877,Water60Gelatin40,20,1,-30
533073,Water60Gelatin40,8,1,-46
533291,Water60Gelatin40,78,13,-51
533486,Water60Gelatin40,66,1,-36
533692,Water60Gelatin40,60,1,-33
533897,Water60Gelatin40,44,1,-31
534103,Water60Gelatin40,34,1,-33
534308,Water60Gelatin40,28,1,-26
534514,Water60Gelatin40,20,2,-27
552327,W60G40-500gm,78,1,-22
552522,W60G40-500gm,66,2,-25
552738,W60G40-500gm,60,1,-26
552943,W60G40-500gm,44,1,-27
553138,W60G40-500gm,34,1,-33
553354,W60G40-500gm,28,1,-27
553549,W60G40-500gm,20,1,-27
553765,W60G40-500gm,8,2,-39
553858,W60G40-500gm,78,2,-39
553970,W60G40-500gm,66,2,-25
554165,W60G40-500gm,60,2,-26
554381,W60G40-500gm,44,2,-27
554577,W60G40-500gm,34,1,-33
554782,W60G40-500gm,28,1,-27
554978,W60G40-500gm,20,1,-27
555194,W60G40-500gm,8,2,-39
555370,W60G40-500gm,78,1,-39
555607,W60G40-500gm,66,1,-25
555802,W60G40-500gm,60,1,-27
556018,W60G40-500gm,44,2,-27
556214,W60G40-500gm,34,1,-32
556430,W60G40-500gm,28,2,-28
556625,W60G40-500gm,20,1,-28
556831,W60G40-500gm,8,1,-39
557038,W60G40-500gm,78,1,-22
557234,W60G40-500gm,66,1,-25
557450,W60G40-500gm,60,1,-26
557645,W60G40-500gm,44,1,-27
557861,W60G40-500gm,34,1,-32
558056,W60G40-500gm,28,1,-28
558272,W60G40-500gm,20,1,-27
558467,W60G40-500gm,8,1,-40
558612,W60G40-500gm,78,1,-22
558881,W60G40-500gm,66,1,-25
559076,W60G40-500gm,60,1,-26
559292,W60G40-500gm,44,1,-27
559487,W60G40-500gm,34,1,-34
559703,W60G40-500gm,28,2,-27
559899,W60G40-500gm,20,1,-27
560114,W60G40-500gm,8,1,-40
560322,W60G40-500gm,78,1,-22
560517,W60G40-500gm,66,1,-25
560723,W60G40-500gm,60,1,-26
560928,W60G40-500gm,44,2,-27
561123,W60G40-500gm,34,1,-33
561342,W60G40-500gm,28,4,-27
561537,W60G40-500gm,20,1,-27
561753,W60G40-500gm,8,1,-40
561867,W60G40-500gm,78,1,-40
562156,W60G40-500gm,66,1,-25
562351,W60G40-500gm,60,1,-26
562567,W60G40-500gm,44,1,-27
562762,W60G40-500gm,34,1,-33
562978,W60G40-500gm,28,1,-27
563174,W60G40-500gm,20,2,-27
563390,W60G40-500gm,8,2,-40
563597,W60G40-500gm,78,2,-22
563793,W60G40-500gm,66,2,-25
563998,W60G40-500gm,60,1,-26
564194,W60G40-500gm,44,1,-27
564410,W60G40-500gm,34,1,-32
564605,W60G40-500gm,28,1,-27
564821,W60G40-500gm,20,1,-27
565017,W60G40-500gm,8,2,-40
565130,W60G40-500gm,78,1,-22
565231,W60G40-500gm,66,1,-25
565427,W60G40-500gm,60,1,-27
565643,W60G40-500gm,44,1,-27
565838,W60G40-500gm,34,1,-34
566054,W60G40-500gm,28,2,-27
566250,W60G40-500gm,20,1,-27
566456,W60G40-500gm,8,1,-39
566663,W60G40-500gm,78,2,-22
566859,W60G40-500gm,66,1,-25
567074,W60G40-500gm,60,1,-26
567270,W60G40-500gm,44,1,-27
567485,W60G40-500gm,34,1,-33
567681,W60G40-500gm,28,1,-27
567896,W60G40-500gm,20,1,-27
568092,W60G40-500gm,8,1,-40
568300,W60G40-500gm,78,1,-22
568495,W60G40-500gm,66,1,-25
568711,W60G40-500gm,60,2,-27
568907,W60G40-500gm,44,1,-27
