timeStamp,Material,TxPower,RTT,RSSI
433382,<unknown>,18,11,-35
433567,<unknown>,6,2,-48
433785,<unknown>,76,1,-30
433981,<unknown>,70,2,-32
434083,<unknown>,58,1,-34
434195,<unknown>,50,2,-36
434403,<unknown>,32,14,-42
434598,<unknown>,26,2,-35
434689,<unknown>,18,2,-35
434791,<unknown>,6,1,-49
435009,<unknown>,76,1,-29
435204,<unknown>,70,1,-32
435420,<unknown>,58,1,-35
435616,<unknown>,50,1,-36
435831,<unknown>,32,1,-41
436027,<unknown>,26,1,-37
436118,<unknown>,18,2,-37
436240,<unknown>,6,2,-49
436344,<unknown>,76,2,-29
436434,<unknown>,70,1,-31
436650,<unknown>,58,1,-35
436846,<unknown>,50,2,-36
437062,<unknown>,32,1,-41
437258,<unknown>,26,2,-36
437463,<unknown>,18,1,-36
437684,<unknown>,6,7,-48
437820,<unknown>,76,2,-30
438078,<unknown>,70,2,-31
438273,<unknown>,58,1,-35
438490,<unknown>,50,2,-37
438685,<unknown>,32,1,-42
438901,<unknown>,26,2,-36
439097,<unknown>,18,2,-36
439313,<unknown>,6,2,-48
439521,<unknown>,76,2,-30
439716,<unknown>,70,1,-32
439912,<unknown>,58,1,-35
440130,<unknown>,50,3,-36
440326,<unknown>,32,1,-41
440542,<unknown>,26,2,-35
440738,<unknown>,18,1,-36
440954,<unknown>,6,1,-48
441057,<unknown>,76,1,-48
441148,<unknown>,70,2,-31
441364,<unknown>,58,2,-34
441562,<unknown>,50,3,-37
441767,<unknown>,32,1,-42
441962,<unknown>,26,1,-35
442178,<unknown>,18,1,-35
442373,<unknown>,6,1,-49
442476,<unknown>,76,1,-30
442577,<unknown>,70,1,-31
442793,<unknown>,58,1,-34
442988,<unknown>,50,1,-36
443204,<unknown>,32,1,-42
443400,<unknown>,26,2,-36
443491,<unknown>,18,1,-36
443613,<unknown>,6,1,-49
443810,<unknown>,76,1,-30
444027,<unknown>,70,2,-32
444222,<unknown>,58,1,-35
444418,<unknown>,50,2,-36
444634,<unknown>,32,2,-43
444829,<unknown>,26,1,-36
445046,<unknown>,18,1,-35
445241,<unknown>,6,1,-48
445354,<unknown>,76,2,-30
445480,<unknown>,70,5,-31
445655,<unknown>,58,1,-34
445850,<unknown>,50,1,-37
446067,<unknown>,32,3,-42
446263,<unknown>,26,1,-35
446479,<unknown>,18,1,-35
446684,<unknown>,6,2,-49
446809,<unknown>,76,2,-30
447090,<unknown>,70,4,-32
447296,<unknown>,58,2,-34
447492,<unknown>,50,1,-36
447707,<unknown>,32,1,-41
447904,<unknown>,26,3,-36
448124,<unknown>,18,6,-36
448309,<unknown>,6,1,-48
448527,<unknown>,76,1,-30
448722,<unknown>,70,2,-31
448814,<unknown>,58,3,-31
448936,<unknown>,50,1,-36
449142,DEMO,32,2,-42
449348,DEMO,26,1,-36
449553,DEMO,18,1,-36
449758,DEMO,6,2,-48
449862,DEMO,76,2,-30
449964,DEMO,70,1,-32
450171,DEMO,58,3,-34
450356,DEMO,50,1,-36
450573,DEMO,32,3,-41
450779,DEMO,26,2,-36
450984,DEMO,18,2,-35
451192,DEMO,6,3,-48
451316,DEMO,76,2,-48
451595,DEMO,70,1,-32
451802,DEMO,58,3,-35
452007,DEMO,50,1,-37
452213,DEMO,32,2,-41
452295,DEMO,26,4,-41
452418,DEMO,18,2,-35
452624,DEMO,6,1,-48
452811,DEMO,76,2,-29
453037,DEMO,70,1,-31
453234,DEMO,58,4,-35
453441,DEMO,50,2,-36
453646,DEMO,32,1,-42
453852,DEMO,26,1,-36
454057,DEMO,18,1,-35
454262,DEMO,6,1,-47
454366,DEMO,76,2,-29
454467,DEMO,70,1,-31
454673,DEMO,58,1,-36
454879,DEMO,50,1,-37
455084,DEMO,32,1,-42
455291,DEMO,26,3,-35
455476,DEMO,18,1,-35
455693,DEMO,6,2,-48
455818,DEMO,76,2,-48
456097,DEMO,70,1,-31
456313,DEMO,58,2,-35
456519,DEMO,50,2,-37
456725,DEMO,32,2,-42
456910,DEMO,26,2,-36
457127,DEMO,18,2,-35
457332,DEMO,6,1,-47
457539,DEMO,76,2,-29
457746,DEMO,70,2,-31
457951,DEMO,58,1,-35
458157,DEMO,50,1,-37
458362,DEMO,32,1,-41
458561,DEMO,26,5,-36
458767,DEMO,18,1,-35
458974,DEMO,6,3,-49
459077,DEMO,76,1,-29
459178,DEMO,70,2,-31
459383,DEMO,58,1,-35
459589,DEMO,50,2,-36
459796,DEMO,32,1,-41
459980,DEMO,26,1,-36
460196,DEMO,18,2,-36
460403,DEMO,6,3,-48
460569,DEMO,76,1,-48
460816,DEMO,70,1,-31
461022,DEMO,58,2,-34
461228,DEMO,50,2,-37
461433,DEMO,32,1,-42
461629,DEMO,26,1,-36
461845,DEMO,18,2,-36
462030,DEMO,6,1,-49
462247,DEMO,76,1,-29
462453,DEMO,70,2,-31
462664,DEMO,58,7,-35
462745,DEMO,50,1,-35
462866,DEMO,32,1,-42
463072,DEMO,26,1,-35
463268,DEMO,18,2,-36
463476,DEMO,6,4,-47
463579,DEMO,76,2,-29
463680,DEMO,70,2,-32
463886,DEMO,58,1,-35
464091,DEMO,50,2,-36
464297,DEMO,32,1,-42
464503,DEMO,26,2,-35
464708,DEMO,18,1,-36
464913,DEMO,6,1,-48
465068,DEMO,76,1,-48
465316,DEMO,70,2,-31
465524,DEMO,58,4,-34
465729,DEMO,50,2,-36
465935,DEMO,32,2,-41
466141,DEMO,26,1,-36
466346,DEMO,18,2,-36
466552,DEMO,6,1,-49
466753,DEMO,76,6,-30
466958,DEMO,70,2,-32
467164,DEMO,58,1,-35
467369,DEMO,50,1,-36
467575,DEMO,32,2,-41
467781,DEMO,26,2,-36
467986,DEMO,18,1,-37
468192,DEMO,6,1,-49
468326,DEMO,76,1,-49
468596,DEMO,70,3,-32
468801,DEMO,58,1,-35
